"Supplied Name","guid","scientificName","family","kingdom","Authority","Country","Kingdom","Environment","Origin","Evidence of impact","Verification","Year","Source"
"Acroceras macrum","https://id.biodiversity.org.au/node/apni/2888304","Acroceras macrum","Poaceae",,"Stapf","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acrosymphyton taylorii","55042002","Acrosymphyton taylorii","Acrosymphytaceae",,"I.A.Abbott, 1962","Australia","Plantae","marine","Cryptogenic/Uncertain","No","Yes","2017","Justin McDonald Pers.comm (2016). ''Dr Justin McDonald, Principal Research Scientist - Marine Biosecurity''."
"Actinotus helianthi","https://id.biodiversity.org.au/node/apni/2895645","Actinotus helianthi","Apiaceae",,"Labill.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Adenanthera pavonina","https://id.biodiversity.org.au/taxon/apni/51299744","Adenanthera pavonina","Fabaceae",,"L.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Adenocarpus complicatus","https://id.biodiversity.org.au/node/apni/2895778","Adenocarpus complicatus","Fabaceae",,"Gay (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Adiantum capillus-veneris","https://id.biodiversity.org.au/node/apni/2887223","Adiantum capillus-veneris","Pteridaceae",,"L.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Adiantum hispidulum","https://id.biodiversity.org.au/node/apni/2914842","Adiantum hispidulum","Pteridaceae",,"Sw.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Adonis microcarpa","https://id.biodiversity.org.au/node/apni/2917651","Adonis microcarpa","Ranunculaceae",,"DC.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aegle marmelos","https://id.biodiversity.org.au/node/apni/2890944","Aegle marmelos","Rutaceae",,"Corrêa (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aegopodium podagraria","https://id.biodiversity.org.au/node/apni/2894538","Aegopodium podagraria","Apiaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeonium arboreum","https://id.biodiversity.org.au/node/apni/2917817","Aeonium arboreum","Crassulaceae",,"Webb & Berthel. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeonium castello-paivae",,,,,"Bolle","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeonium haworthii","https://id.biodiversity.org.au/node/apni/2918279","Aeonium haworthii","Crassulaceae",,"Webb & Berthel.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aequidens pulcher","urn:lsid:biodiversity.org.au:afd.taxon:4be2f5d8-a372-45a8-a222-c2cb0d030932","Andinoacara pulcher","Cichlidae",,"(Gill, 1858)","Australia","Animalia","freshwater","Alien","No","No","2018",
"Aerva javanica","https://id.biodiversity.org.au/node/apni/2890404","Aerva javanica","Amaranthaceae",,"Juss. ex Schult. (Burm. f.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeschynomene americana","https://id.biodiversity.org.au/taxon/apni/51299757","Aeschynomene americana","Fabaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeschynomene brasiliana","https://id.biodiversity.org.au/node/apni/2900676","Aeschynomene brasiliana","Fabaceae",,"DC. (Poir.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeschynomene brevifolia","https://id.biodiversity.org.au/taxon/apni/51285277","Aeschynomene brevifolia","Fabaceae",,"Poir.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeschynomene indica","https://id.biodiversity.org.au/node/apni/2915706","Aeschynomene indica","Fabaceae",,"L.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeschynomene micranthos","https://id.biodiversity.org.au/taxon/apni/51285277","Aeschynomene brevifolia","Fabaceae",,"DC. (Poir.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeschynomene paniculata","https://id.biodiversity.org.au/node/apni/2913368","Aeschynomene paniculata","Fabaceae",,"Vogel","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aeschynomene villosa","https://id.biodiversity.org.au/node/apni/2897462","Aeschynomene villosa","Fabaceae",,"Poir.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aesculus hippocastanum","https://id.biodiversity.org.au/node/apni/2914962","Aesculus hippocastanum","Sapindaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Afrocarpus falcatus","https://id.biodiversity.org.au/node/apni/2904941","Afrocarpus falcata","Podocarpaceae",,"C. N. Page (Thunb.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agapanthus praecox","https://id.biodiversity.org.au/node/apni/2900546","Agapanthus praecox","Agapanthaceae",,"Willd.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agathosma crenulata","https://id.biodiversity.org.au/node/apni/2912456","Agathosma crenulata","Rutaceae",,"Pillans (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agave americana","https://id.biodiversity.org.au/node/apni/2891639","Agave americana","Asparagaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agave attenuata","https://id.biodiversity.org.au/node/apni/2906432","Agave attenuata","Asparagaceae",,"Salm-Dyck","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agave sisalana","https://id.biodiversity.org.au/node/apni/2898621","Agave sisalana","Asparagaceae",,"Perrine","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ageratina adenophora","https://id.biodiversity.org.au/node/apni/2916475","Ageratina adenophora","Asteraceae",,"King & H. Rob. (Spreng.)","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ageratina ligustrina","https://id.biodiversity.org.au/node/apni/2907625","Ageratina ligustrina","Asteraceae",,"R.M.King & H.Rob. (DC.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ageratina riparia","https://id.biodiversity.org.au/node/apni/2899012","Ageratina riparia","Asteraceae",,"King & H. Rob. (Regel)","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ageratum conyzoides","https://id.biodiversity.org.au/taxon/apni/51267212","Ageratum conyzoides","Asteraceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ageratum houstonianum","https://id.biodiversity.org.au/node/apni/2912908","Ageratum houstonianum","Asteraceae",,"Mill.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aglaonema commutatum","https://id.biodiversity.org.au/node/apni/2918009","Aglaonema commutatum","Araceae",,"Schott","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agonis flexuosa","https://id.biodiversity.org.au/node/apni/2912734","Agonis flexuosa","Myrtaceae",,"Sweet (Muhl. ex Willd.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agrimonia eupatoria","https://id.biodiversity.org.au/node/apni/2910696","Agrimonia eupatoria","Rosaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agropogon lutosus","https://id.biodiversity.org.au/node/apni/2917062","Polypogon lutosus","Poaceae",,"P.Fourn. (Poir.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agrostemma githago","https://id.biodiversity.org.au/node/apni/2899474","Agrostemma githago","Caryophyllaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agrostis capillaris","https://id.biodiversity.org.au/node/apni/2896258","Agrostis capillaris","Poaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agrostis gigantea","https://id.biodiversity.org.au/node/apni/2892860","Agrostis gigantea","Poaceae",,"Roth","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agrostis hyemalis",,,,,"Britton, Sterns & Poggenb. (Walter)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Agrostis stolonifera","https://id.biodiversity.org.au/node/apni/2906084","Agrostis stolonifera","Poaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ailanthus altissima","https://id.biodiversity.org.au/node/apni/2916914","Ailanthus altissima","Simaroubaceae",,"(Mill.) Swingle","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aira caryophyllea","https://id.biodiversity.org.au/node/apni/2888611","Aira caryophyllea","Poaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aira cupaniana","https://id.biodiversity.org.au/node/apni/2915129","Aira cupaniana","Poaceae",,"Guss.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aira elegantissima","https://id.biodiversity.org.au/node/apni/2911795","Aira elegantissima","Poaceae",,"Schur","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aira praecox","https://id.biodiversity.org.au/node/apni/2913741","Aira praecox","Poaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aira provincialis","https://id.biodiversity.org.au/node/apni/2918840","Aira provincialis","Poaceae",,"Jord.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ajuga iva","https://id.biodiversity.org.au/node/apni/2913180","Ajuga iva","Lamiaceae",,"Schreb. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ajuga reptans","https://id.biodiversity.org.au/node/apni/2908074","Ajuga reptans","Lamiaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Akebia quinata","https://id.biodiversity.org.au/node/apni/2887691","Akebia quinata","Lardizabalaceae",,"Decne. (Houtt.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alauda arvensis","urn:lsid:biodiversity.org.au:afd.taxon:d8b6fd0b-433a-40c4-a647-da94e3912b74","Alauda arvensis","Alaudidae",,"Linnaeus, 1758","Australia","Animalia","terrestrial","Alien","No","Yes","2017","Department of the Environment, Australia (2015). Feral animals on offshore islands database."
"Albizia lebbeck","https://id.biodiversity.org.au/taxon/apni/51299774","Albizia lebbeck","Fabaceae",,"Benth. (L.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Albizia procera","https://id.biodiversity.org.au/taxon/apni/51299776","Albizia procera","Fabaceae",,"Benth. (Roxb.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Albizia saman","https://id.biodiversity.org.au/node/apni/2901280","Samanea saman","Fabaceae",,"(Jacq.) Merr.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Albuca bracteata","https://id.biodiversity.org.au/name/apni/9788573","Albuca bracteata","Asparagaceae",,"J.C.Manning & Goldblatt (Thunb.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Albuca canadensis","https://id.biodiversity.org.au/node/apni/2901672","Ornithogalum maximum","Asparagaceae",,"F.M.Leight. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alcea rosea","https://id.biodiversity.org.au/node/apni/2918521","Alcea rosea","Malvaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alchemilla xanthochlora","https://id.biodiversity.org.au/node/apni/2912242","Alchemilla xanthochlora","Rosaceae",,"Rothm.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alectura lathami","urn:lsid:biodiversity.org.au:afd.taxon:036fcf6e-6acc-4872-b5ce-e28904c50986","Alectura lathami","Megapodiidae",,"J. E. Gray, 1831","Australia","Animalia","terrestrial","Alien","No","Yes","2017","Department of the Environment, Australia (2015). Feral animals on offshore islands database."
"Aleurites moluccanus","https://id.biodiversity.org.au/node/apni/2912211","Aleurites moluccanus","Euphorbiaceae",,"(L.) Willd.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alexandrium catenella","NZOR-6-37513","Alexandrium catenella","Gonyaulacidae",,"E. Balech (Whedon & Kofoid)","Australia","Chromista","marine","Cryptogenic/Uncertain","Yes","Yes","2017","NIMPIS (National Introduced Marine Pest Information System). (2015). Online publication NIMPIS (National Introduced Marine Pest Information System).."
"Alexandrium minutum","NZOR-6-95500","Alexandrium minutum","Gonyaulacidae",,"Halim","Australia","Chromista","marine","Alien","Yes","Yes","2017","Pagad S., Hayes K, Katsanevakis S., Costello M. J. (2015). World Register of Introduced Marine Species (WRIMS). 
NIMPIS (National Introduced Marine Pest Information System). (2015). Online publication NIMPIS (National Introduced Marine Pest Information System).."
"Alexandrium peruvianum",,,,,"Balech & Tangen (Balech & Mendiola)","Australia","Chromista","marine","Alien","No","Yes","2017","Pagad S., Hayes K, Katsanevakis S., Costello M. J. (2015). World Register of Introduced Marine Species (WRIMS)."
"Alexandrium tamarense","NZOR-6-78677","Alexandrium tamarense","Gonyaulacidae",,"E. Balech (Lebour)","Australia","Chromista","marine","Cryptogenic/Uncertain","Yes","Yes","2017","Pagad S., Hayes K, Katsanevakis S., Costello M. J. (2015). World Register of Introduced Marine Species (WRIMS). 
NIMPIS (National Introduced Marine Pest Information System). (2015). Online publication NIMPIS (National Introduced Marine Pest Information System).."
"Alhagi maurorum","https://id.biodiversity.org.au/node/apni/2912068","Alhagi maurorum","Fabaceae",,"Medik.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alisma lanceolata","https://id.biodiversity.org.au/node/apni/2900536","Alisma lanceolatum","Alismataceae",,"With.","Australia","Plantae","freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alisma lanceolatum","https://id.biodiversity.org.au/node/apni/2900536","Alisma lanceolatum","Alismataceae",,"With.","Australia","Plantae","freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alisma plantago-aquatica","https://id.biodiversity.org.au/node/apni/2889337","Alisma plantago-aquatica","Alismataceae",,"L.","Australia","Plantae","freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alitta succinea","urn:lsid:biodiversity.org.au:afd.taxon:0356cb21-e6ce-4d5a-a9e1-908b99792d09","Alitta succinea","Nereididae",,"(Leuckart, 1847)","Australia","Animalia","marine","Alien","No","Yes","2017","Pagad S., Hayes K, Katsanevakis S., Costello M. J. (2015). World Register of Introduced Marine Species (WRIMS). 
NIMPIS (National Introduced Marine Pest Information System). (2015). Online publication NIMPIS (National Introduced Marine Pest Information System).."
"Allamanda blanchetii","https://id.biodiversity.org.au/node/apni/2919896","Allamanda blanchetti","Apocynaceae",,"A. DC.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allamanda cathartica","https://id.biodiversity.org.au/node/apni/2908415","Allamanda cathartica","Apocynaceae",,"L.","Australia","Plantae","terrestrial","Native/Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alliaria petiolata","https://id.biodiversity.org.au/node/apni/2896067","Alliaria petiolata","Brassicaceae",,"Cavara & Grande (M.Bieb.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium ampeloprasum","https://id.biodiversity.org.au/node/apni/2902593","Allium ampeloprasum","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium cepa","https://id.biodiversity.org.au/node/apni/3836168","Allium cepa","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium neapolitanum","https://id.biodiversity.org.au/node/apni/2904275","Allium neapolitanum","Alliaceae",,"Cirillo","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium obliquum",,,,,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium oleraceum","https://id.biodiversity.org.au/node/apni/2892420","Allium oleraceum","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium paniculatum","https://id.biodiversity.org.au/node/apni/2914770","Allium paniculatum","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium roseum","https://id.biodiversity.org.au/node/apni/2912037","Allium roseum","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium scorodoprasum","https://id.biodiversity.org.au/node/apni/2908766","Allium scorodoprasum","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium triquetrum","https://id.biodiversity.org.au/node/apni/2886851","Allium triquetrum","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allium vineale","https://id.biodiversity.org.au/node/apni/2920992","Allium vineale","Alliaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Allocasuarina torulosa","https://id.biodiversity.org.au/node/apni/2898576","Allocasuarina torulosa","Casuarinaceae",,"L.A.S. Johnson (Aiton)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alnus cordata","https://id.biodiversity.org.au/node/apni/2912944","Alnus cordata","Betulaceae",,"Duby (Loisel.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alnus glutinosa","https://id.biodiversity.org.au/node/apni/2902859","Alnus glutinosa","Betulaceae",,"Gaertn. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alnus rubra","NZOR-6-107286","Alnus rubra","Betulaceae",,"Bong.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Alocasia brisbanensis","https://id.biodiversity.org.au/node/apni/2902838","Alocasia brisbanensis","Araceae",,"Domin (F.M.Bailey)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aloe arborescens","https://id.biodiversity.org.au/node/apni/2909874","Aloe arborescens","Asphodelaceae",,"Mill.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aloe cameronii","https://id.biodiversity.org.au/node/apni/2917028","Aloe cameronii","Asphodelaceae",,"Hemsl.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aloe ciliaris","https://id.biodiversity.org.au/node/apni/2918351","Aloiampelos ciliaris","Asphodelaceae",,"Haw.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aloe ferox","https://id.biodiversity.org.au/name/apni/224556","Aloe ferox","Asphodelaceae",,"Mill.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aloe maculata","https://id.biodiversity.org.au/node/apni/2888207","Aloe maculata","Asphodelaceae",,"All.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Aloe parvibracteata","https://id.biodiversity.org.au/node/apni/2899309","Aloe parvibracteata","Asphodelaceae",,"Schönland","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
